N	Seq1	Seq2	Seq3	Seq4
18	18 | SA150_0018 | . | Two-component response regulator SA14-24 | dir | [24797..25504]	18 | SA597_0018 | . | Two-component response regulator SA14-24 | dir | [24495..25196]	18 | K8B78_00100 | . | response regulator transcription factor | dir | [24487..25188]	18 | HMPRNC0000_0021 | walR | Two-component response regulator SA14-24 | dir | [24784..25485]
19	19 | SA150_0019 | . | Two-component sensor kinase SA14-24 | dir | [25517..27343]	19 | SA597_0019 | . | Two-component sensor kinase SA14-24 | dir | [25209..27035]	19 | K8B78_00105 | walK | cell wall metabolism sensor histidine kinase WalK | dir | [25201..27027]	19 | HMPRNC0000_0022 | walK | Two-component sensor kinase SA14-24 | dir | [25498..27324]
20	20 | SA150_0020 | . | Two-component system YycFG regulatory protein YycH | dir | [27336..28670]	20 | SA597_0020 | . | Two-component system YycFG regulatory protein YycH | dir | [27028..28362]	20 | K8B78_00110 | . | hypothetical protein | dir | [27020..28354]	20 | HMPRNC0000_0023 | yycH | Two-component system YycFG regulatory protein YycH | dir | [27317..28651]
21	21 | SA150_0021 | . | Two-component system YycFG regulatory protein YycI | dir | [28671..29459]	21 | SA597_0021 | . | Two-component system YycFG regulatory protein YycI | dir | [28363..29151]	21 | K8B78_00115 | . | two-component system regulatory protein YycI | dir | [28355..29143]	21 | HMPRNC0000_0025 | yycI | Two-component system YycFG regulatory protein YycI | dir | [29012..29440]
22	22 | SA150_0022 | . | Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication | dir | [29848..30648]	22 | SA597_0022 | . | Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication | dir | [29548..30339]	22 | K8B78_00120 | . | MBL fold metallo-hydrolase | dir | [29531..30331]	22 | HMPRNC0000_0026 | . | Zn-dependent hydrolase YycJ/WalJ | dir | [29836..30636]
23	23 | SA150_0023 | . | Virulence-associated cell-wall-anchored protein SasH (LPXTG motif); 5'-nucleotidase (EC 3.1.3.5) | dir | [30876..33194]	23 | SA597_0023 | . | Virulence-associated cell-wall-anchored protein SasH (LPXTG motif); 5'-nucleotidase (EC 3.1.3.5) | dir | [30567..32867]	23 | K8B78_00125 | adsA | LPXTG-anchored adenosine synthase AdsA | dir | [30558..32876]	23 | HMPRNC0000_0027 | sasH | Virulence-associated cell-wall-anchored protein SasH (LPXTG motif), 5'-nucleotidase | dir | [30864..33182]
25	25 | SA150_0025 | . | 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177) | dir | [33562..34041]	25 | SA597_0025 | . | 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177) | dir | [33235..33714]	24 | K8B78_00130 | rlmH | 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH | dir | [33244..33723]	24 | HMPRNC0000_0029 | rlmH | 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase | dir | [33549..34028]
44	34 | SA150_0034 | . | tRNA-dihydrouridine synthase 2 | rev | [41912..42898]	38 | SA597_0038 | . | tRNA-dihydrouridine synthase 2 | rev | [45759..46745]	36 | K8B78_00190 | . | tRNA-dihydrouridine synthase | rev | [43528..44514]	62 | HMPRNC0000_0076 | . | tRNA-dihydrouridine synthase 2 | rev | [74868..75773]
46	35 | SA150_0035 | . | hypothetical protein | dir | [43459..43755]	40 | SA597_0040 | . | hypothetical protein | dir | [47306..47602]	38 | K8B78_00200 | . | TfoX/Sxy family protein | dir | [45073..45369]	64 | HMPRNC0000_0078 | . | hypothetical protein | dir | [76411..76707]
47	36 | SA150_0036 | . | hypothetical protein | dir | [43964..44566]	54 | SA597_0054 | . | hypothetical protein | dir | [60836..61438]	39 | K8B78_00205 | . | hypothetical protein | dir | [45577..46179]	65 | HMPRNC0000_0079 | . | hypothetical protein | dir | [76915..77517]
57	40 | SA150_0040 | . | hypothetical protein | dir | [47628..48110]	58 | SA597_0058 | . | hypothetical protein | dir | [64499..64981]	41 | K8B78_00215 | . | hypothetical protein | dir | [49682..50164]	67 | HMPRNC0000_0083 | . | hypothetical protein | dir | [80993..81475]
58	41 | SA150_0041 | . | Phosphatidylinositol-specific phospholipase C (EC 4.6.1.13) | dir | [48315..49301]	59 | SA597_0059 | . | Phosphatidylinositol-specific phospholipase C (EC 4.6.1.13) | dir | [65186..66172]	42 | K8B78_00220 | . | phosphatidylinositol-specific phospholipase C | dir | [50369..51355]	68 | HMPRNC0000_0084 | plc | Phosphatidylinositol-specific phospholipase C | dir | [81681..82667]
60	42 | SA150_0042 | . | hypothetical protein | dir | [49522..50292]	60 | SA597_0060 | . | hypothetical protein | dir | [66393..66956]	43 | K8B78_00225 | . | tandem-type lipoprotein | dir | [51576..52346]	74 | HMPRNC0000_0090 | . | hypothetical protein | dir | [87027..87794]
62	44 | SA150_0044 | . | Transcriptional regulator, AraC family | dir | [51223..53460]	62 | SA597_0062 | . | Transcriptional regulator, AraC family | dir | [67256..69493]	44 | K8B78_00230 | . | helix-turn-helix domain-containing protein | dir | [52440..54677]	76 | HMPRNC0000_0092 | . | Transcriptional regulator, AraC family | dir | [88725..90962]
64	45 | SA150_0045 | . | N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14) | dir | [53611..54789]	63 | SA597_0063 | . | N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14) | dir | [69644..70822]	45 | K8B78_00235 | . | amidohydrolase | dir | [54828..56006]	77 | HMPRNC0000_0093 | hipO2 | N-acyl-L-amino acid amidohydrolase | dir | [91113..92291]
66	46 | SA150_0046 | . | MFS-type transporter quinolone resistance protein NorB/NorC | dir | [54791..56179]	64 | SA597_0064 | . | MFS-type transporter quinolone resistance protein NorB/NorC | dir | [70824..72212]	46 | K8B78_00240 | . | MFS transporter | dir | [56008..57396]	78 | HMPRNC0000_0094 | norB | MFS-type transporter | dir | [92293..93681]
73	48 | SA150_0048 | . | Sodium-dependent phosphate transporter | rev | [57273..58940]	65 | SA597_0065 | . | Sodium-dependent phosphate transporter | rev | [72698..74365]	47 | K8B78_00245 | . | Na/Pi cotransporter family protein | rev | [57882..59543]	80 | HMPRNC0000_0096 | . | Sodium-dependent phosphate transporter | rev | [94784..96208]
74	49 | SA150_0049 | . | Oleate hydratase (EC 4.2.1.53) | rev | [59258..61033]	66 | SA597_0066 | . | Oleate hydratase (EC 4.2.1.53) | rev | [74684..76459]	48 | K8B78_00250 | . | oleate hydratase | rev | [59868..61643]	81 | HMPRNC0000_0097 | . | Oleate hydratase | rev | [96756..98534]
77	50 | SA150_0050 | . | hypothetical protein | dir | [61384..61857]	69 | SA597_0069 | . | hypothetical protein | dir | [79206..79679]	49 | K8B78_00255 | . | DUF1648 domain-containing protein | dir | [61994..62467]	84 | HMPRNC0000_0100 | . | hypothetical protein | dir | [101280..101753]
79	51 | SA150_0051 | . | L-lactate permease | dir | [62119..63711]	70 | SA597_0070 | . | L-lactate permease | dir | [79941..81533]	50 | K8B78_00260 | . | L-lactate permease | dir | [62729..64321]	85 | HMPRNC0000_0101 | lctP2 | L-lactate permease | dir | [102015..103607]
80	52 | SA150_0052 | . | Protein A, von Willebrand factor binding protein Spa | rev | [64040..65542]	71 | SA597_0071 | . | Protein A, von Willebrand factor binding protein Spa | rev | [81860..83266]	51 | K8B78_00265 | spa | staphylococcal protein A | rev | [64650..66176]	86 | HMPRNC0000_0102 | . | Protein A, von Willebrand factor binding protein Spa | rev | [103936..105474]
85	53 | SA150_0053 | . | staphylococcal accessory regulator A homologue | rev | [65963..66715]	72 | SA597_0072 | . | staphylococcal accessory regulator A homologue | rev | [83687..84439]	52 | K8B78_00270 | sarS | HTH-type transcriptional regulator SarS | rev | [66597..67349]	87 | HMPRNC0000_0103 | sarS | accessory regulator A | rev | [105774..106199]
86	54 | SA150_0054 | . | Siderophore staphylobactin ABC transporter, permease protein SirC | rev | [67084..68082]	73 | SA597_0073 | . | Siderophore staphylobactin ABC transporter, permease protein SirC | rev | [84808..85806]	53 | K8B78_00275 | sirC | staphyloferrin B ABC transporter permease subunit SirC | rev | [67718..68716]	88 | HMPRNC0000_0104 | sirC | Siderophore staphylobactin ABC transporter, permease protein SirC | rev | [106815..107420]
87	55 | SA150_0055 | . | Siderophore staphylobactin ABC transporter, permease protein SirB | rev | [68079..69074]	74 | SA597_0074 | . | Siderophore staphylobactin ABC transporter, permease protein SirB | rev | [85803..86798]	54 | K8B78_00280 | sirB | staphyloferrin B ABC transporter permease subunit SirB | rev | [68713..69708]	89 | HMPRNC0000_0105 | sirB | Siderophore staphylobactin ABC transporter, permease protein SirB | rev | [107799..108794]
88	56 | SA150_0056 | . | Siderophore staphylobactin ABC transporter, substrate-binding protein SirA | rev | [69090..70082]	75 | SA597_0075 | . | Siderophore staphylobactin ABC transporter, substrate-binding protein SirA | rev | [86814..87806]	55 | K8B78_00285 | sirA | staphyloferrin B ABC transporter substrate-binding protein SirA | rev | [69724..70716]	90 | HMPRNC0000_0106 | sirA | Siderophore staphylobactin ABC transporter, substrate-binding protein SirA | rev | [108810..109340]
89	57 | SA150_0057 | . | Siderophore staphylobactin biosynthesis protein SbnA | dir | [70313..71293]	76 | SA597_0076 | . | Siderophore staphylobactin biosynthesis protein SbnA | dir | [88037..89017]	56 | K8B78_00290 | sbnA | 2,3-diaminopropionate biosynthesis protein SbnA | dir | [70947..71927]	91 | HMPRNC0000_0108 | sbnA | Siderophore staphylobactin biosynthesis protein SbnA | dir | [110000..110950]
92	58 | SA150_0058 | . | Siderophore staphylobactin biosynthesis protein SbnB, cyclodeaminase | dir | [71290..72300]	77 | SA597_0077 | . | Siderophore staphylobactin biosynthesis protein SbnB, cyclodeaminase | dir | [89014..90024]	57 | K8B78_00295 | sbnB | N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB | dir | [71924..72934]	92 | HMPRNC0000_0109 | ocd2 | Siderophore staphylobactin biosynthesis protein SbnB, cyclodeaminase | dir | [110976..111986]
96	59 | SA150_0059 | . | Siderophore staphylobactin biosynthesis protein SbnC @ Siderophore synthetase superfamily, group B | dir | [72321..74075]	78 | SA597_0078 | . | Siderophore staphylobactin biosynthesis protein SbnC @ Siderophore synthetase superfamily, group B | dir | [90045..91799]	58 | K8B78_00300 | sbnC | staphyloferrin B biosynthesis protein SbnC | dir | [72955..74709]	93 | HMPRNC0000_0110 | sbnC | Siderophore staphylobactin biosynthesis protein SbnC and Siderophore synthetase superfamily, group B | dir | [112007..113761]
100	60 | SA150_0060 | . | Siderophore staphylobactin biosynthesis protein SbnD | dir | [74068..75324]	79 | SA597_0079 | . | Siderophore staphylobactin biosynthesis protein SbnD | dir | [91831..93048]	59 | K8B78_00305 | sbnD | staphyloferrin B export MFS transporter | dir | [74702..75958]	94 | HMPRNC0000_0113 | . | Siderophore staphylobactin biosynthesis protein SbnD | dir | [113754..115010]
101	61 | SA150_0061 | . | Siderophore staphylobactin biosynthesis protein SbnE @ Siderophore synthetase superfamily, group A | dir | [75314..77050]	80 | SA597_0080 | . | Siderophore staphylobactin biosynthesis protein SbnE @ Siderophore synthetase superfamily, group A | dir | [93038..94774]	60 | K8B78_00310 | sbnE | L-2,3-diaminopropanoate--citrate ligase SbnE | dir | [75948..77684]	95 | HMPRNC0000_0115 | sbnE | Siderophore staphylobactin biosynthesis protein SbnE and Siderophore synthetase superfamily, group A | dir | [115000..116736]
103	62 | SA150_0062 | . | Siderophore staphylobactin biosynthesis protein SbnF @ Siderophore synthetase superfamily, group C | dir | [77031..78809]	81 | SA597_0081 | . | Siderophore staphylobactin biosynthesis protein SbnF @ Siderophore synthetase superfamily, group C | dir | [94755..96533]	61 | K8B78_00315 | sbnF | 3-(L-alanin-3-ylcarbamoyl)-2-[(2- aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF | dir | [77593..79443]	96 | HMPRNC0000_0116 | sbnF | Siderophore staphylobactin biosynthesis protein SbnF and Siderophore synthetase superfamily, group C | dir | [116717..118495]
104	63 | SA150_0063 | . | Siderophore staphylobactin biosynthesis protein SbnG | dir | [78781..79560]	82 | SA597_0082 | . | Siderophore staphylobactin biosynthesis protein SbnG | dir | [96508..97284]	62 | K8B78_00320 | sbnG | staphyloferrin B biosynthesis citrate synthase SbnG | dir | [79418..80194]	97 | HMPRNC0000_0117 | sbnG | Siderophore staphylobactin biosynthesis protein SbnG | dir | [118467..119246]
105	64 | SA150_0064 | . | Siderophore staphylobactin biosynthesis protein SbnH | dir | [79560..80762]	83 | SA597_0083 | . | Siderophore staphylobactin biosynthesis protein SbnH | dir | [97284..98486]	63 | K8B78_00325 | sbnH | staphyloferrin B biosynthesis decarboxylase SbnH | dir | [80194..81396]	98 | HMPRNC0000_0119 | sbnH | Siderophore staphylobactin biosynthesis protein SbnH | dir | [119246..120448]
106	65 | SA150_0065 | . | Siderophore staphylobactin biosynthesis protein SbnI | dir | [80766..81530]	84 | SA597_0084 | . | Siderophore staphylobactin biosynthesis protein SbnI | dir | [98490..99254]	64 | K8B78_00330 | sbnI | bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI | dir | [81400..82164]	99 | HMPRNC0000_0120 | . | Siderophore staphylobactin biosynthesis protein SbnI | dir | [120452..121216]
107	66 | SA150_0066 | . | hypothetical protein | dir | [81726..82352]	87 | SA597_0087 | . | hypothetical protein | dir | [100374..101012]	65 | K8B78_00335 | . | MFS transporter | dir | [82347..82985]	101 | HMPRNC0000_0122 | . | hypothetical protein | dir | [121869..122495]
108	67 | SA150_0067 | . | 2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific (EC 1.1.1.4) / Acetoin (diacetyl) reductase (EC 1.1.1.304) | dir | [82564..83340]	88 | SA597_0088 | . | 2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific (EC 1.1.1.4) / Acetoin (diacetyl) reductase (EC 1.1.1.304) | dir | [101224..102000]	66 | K8B78_00340 | . | (S)-acetoin forming diacetyl reductase | dir | [83196..83972]	102 | HMPRNC0000_0123 | budC | 2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific / Acetoin (diacetyl) reductase | dir | [122707..123483]
109	68 | SA150_0068 | . | UDP-glucose 4-epimerase (EC 5.1.3.2) | dir | [83685..84656]	89 | SA597_0089 | . | UDP-glucose 4-epimerase (EC 5.1.3.2) | dir | [102344..103315]	68 | K8B78_00350 | . | NAD-dependent epimerase/dehydratase family protein | dir | [84307..85287]	103 | HMPRNC0000_0124 | galE | UDP-glucose 4-epimerase | dir | [123828..124799]
111	69 | SA150_0069 | . | Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase; Teichuronic acid biosynthesis glycosyltransferase TuaA | dir | [84619..85311]	90 | SA597_0090 | . | Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase; Teichuronic acid biosynthesis glycosyltransferase TuaA | dir | [103278..103970]	69 | K8B78_00355 | . | sugar transferase | dir | [85250..85939]	104 | HMPRNC0000_0125 | . | Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase | dir | [124762..125454]
112	70 | SA150_0070 | . | Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-) | dir | [85521..86687]	91 | SA597_0091 | . | Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-) | dir | [104191..105357]	70 | K8B78_00360 | . | glycosyltransferase family 4 protein | dir | [86149..87315]	105 | HMPRNC0000_0126 | cap8H | Exopolysaccharide biosynthesis glycosyltransferase EpsF | dir | [125664..126830]
113	71 | SA150_0071 | . | hypothetical protein | dir | [86668..87906]	92 | SA597_0092 | . | hypothetical protein | dir | [105338..106576]	71 | K8B78_00365 | . | O-antigen ligase family protein | dir | [87296..88534]	106 | HMPRNC0000_0127 | cps2H | O-antigen ligase domain-containing protein | dir | [126811..128049]
114	72 | SA150_0072 | . | Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids | dir | [87896..89326]	93 | SA597_0093 | . | Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids | dir | [106566..107996]	72 | K8B78_00370 | . | lipopolysaccharide biosynthesis protein | dir | [88524..89954]	107 | HMPRNC0000_0128 | . | Membrane protein involved in the export of O-antigen | dir | [128039..129469]
115	73 | SA150_0073 | . | Superoxide dismutase [Mn] (EC 1.15.1.1); Superoxide dismutase [Fe] (EC 1.15.1.1) | dir | [89594..90193]	94 | SA597_0094 | . | Superoxide dismutase [Mn] (EC 1.15.1.1); Superoxide dismutase [Fe] (EC 1.15.1.1) | dir | [108264..108863]	73 | K8B78_00375 | . | superoxide dismutase | dir | [90222..90821]	108 | HMPRNC0000_0129 | sodA | Superoxide dismutase (Mn), Superoxide dismutase (Fe) | dir | [129737..130336]
116	74 | SA150_0074 | . | Predicted cell-wall-anchored protein SasD (LPXAG motif) | dir | [90562..91287]	95 | SA597_0095 | . | Predicted cell-wall-anchored protein SasD (LPXAG motif) | dir | [109232..109957]	74 | K8B78_00380 | . | LPXTG cell wall anchor domain-containing protein | dir | [91190..91855]	109 | HMPRNC0000_0130 | sasD | putative cell-wall-anchored protein SasD (LPXAG motif) | dir | [130704..131429]
117	75 | SA150_0075 | . | Predicted regulator for deoxynucleoside utilization, GntR family | rev | [91478..92218]	96 | SA597_0096 | . | Predicted regulator for deoxynucleoside utilization, GntR family | rev | [110148..110888]	75 | K8B78_00385 | . | GntR family transcriptional regulator | rev | [91956..92711]	110 | HMPRNC0000_0131 | . | putative regulator for deoxynucleoside utilization, GntR family | rev | [131620..132360]
118	76 | SA150_0076 | . | Purine nucleoside phosphorylase (EC 2.4.2.1) | dir | [92469..93176]	97 | SA597_0097 | . | Purine nucleoside phosphorylase (EC 2.4.2.1) | dir | [111139..111846]	76 | K8B78_00390 | deoD | purine-nucleoside phosphorylase | dir | [92947..93654]	111 | HMPRNC0000_0132 | deoD | Purine nucleoside phosphorylase | dir | [132611..133318]
120	78 | SA150_0078 | . | Deoxyribose-phosphate aldolase (EC 4.1.2.4) | dir | [94616..95278]	99 | SA597_0099 | . | Deoxyribose-phosphate aldolase (EC 4.1.2.4) | dir | [113286..113948]	78 | K8B78_00400 | deoC | deoxyribose-phosphate aldolase | dir | [95094..95756]	113 | HMPRNC0000_0134 | deoC2 | Deoxyribose-phosphate aldolase | dir | [134758..135420]
121	79 | SA150_0079 | . | Phosphopentomutase (EC 5.4.2.7) | dir | [95306..96484]	100 | SA597_0100 | . | Phosphopentomutase (EC 5.4.2.7) | dir | [113976..115154]	79 | K8B78_00405 | deoB | phosphopentomutase | dir | [95784..96962]	114 | HMPRNC0000_0135 | deoB | Phosphopentomutase | dir | [135448..136626]
122	80 | SA150_0080 | . | ABC transporter, permease protein (cluster 12, methionine/phosphonates) | rev | [96615..97430]	101 | SA597_0101 | . | ABC transporter, permease protein (cluster 12, methionine/phosphonates) | rev | [115285..116100]	80 | K8B78_00410 | phnE | phosphonate ABC transporter, permease protein PhnE | rev | [97093..97908]	115 | HMPRNC0000_0136 | phnE | ABC transporter, permease protein (cluster 12, methionine/phosphonates) | rev | [136757..137572]
123	81 | SA150_0081 | . | ABC transporter, permease protein (cluster 12, methionine/phosphonates) | rev | [97427..98227]	102 | SA597_0102 | . | ABC transporter, permease protein (cluster 12, methionine/phosphonates) | rev | [116097..116897]	81 | K8B78_00415 | phnE | phosphonate ABC transporter, permease protein PhnE | rev | [97905..98705]	116 | HMPRNC0000_0137 | phnE | ABC transporter, permease protein (cluster 12, methionine/phosphonates) | rev | [137569..138369]
124	82 | SA150_0082 | . | ABC transporter, ATP-binding protein (cluster 12, methionine/phosphonates) | rev | [98229..99002]	103 | SA597_0103 | . | ABC transporter, ATP-binding protein (cluster 12, methionine/phosphonates) | rev | [116899..117672]	82 | K8B78_00420 | phnC | phosphonate ABC transporter ATP-binding protein | rev | [98707..99480]	117 | HMPRNC0000_0138 | phnC | ABC transporter, ATP-binding protein (cluster 12, methionine/phosphonates) | rev | [138371..139144]
125	83 | SA150_0083 | . | ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates) | rev | [99197..100153]	104 | SA597_0104 | . | ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates) | rev | [117886..118842]	83 | K8B78_00425 | . | phosphate/phosphite/phosphonate ABC transporter substrate-binding protein | rev | [99694..100650]	118 | HMPRNC0000_0139 | phnD | ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates) | rev | [139339..140295]
128	84 | SA150_0084 | . | hypothetical protein | dir | [100382..101926]	105 | SA597_0105 | . | hypothetical protein | dir | [119071..120615]	84 | K8B78_00430 | . | DNA-binding protein | dir | [100879..102423]	119 | HMPRNC0000_0140 | . | hypothetical protein | dir | [140524..142068]
129	85 | SA150_0085 | . | 2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) | dir | [101977..103512]	106 | SA597_0106 | . | 2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) | dir | [120666..122201]	85 | K8B78_00435 | . | bifunctional metallophosphatase/5'-nucleotidase | dir | [102474..104009]	120 | HMPRNC0000_0141 | . | 2',3'-cyclic-nucleotide 2'-phosphodiesterase | dir | [142119..143654]
